Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Src Port
50567,6,,514453,5,6,3759.0,352.0,1452.0,219.0,751.8,641.2239858271055,228.0,0.0,58.66666666666667,90.4912518792102,7991.01181254653,21.38193382097101,51445.3,96344.17886128646,233587.0,1.0,473669.0,118417.25,133308.35696828362,235167.0,1.0,514453.0,102890.6,136789.7524663306,270261.0,24.0,0,100,120,9.719060827714095,11.662872993256917,0.0,1452.0,342.5833333333333,532.9099289976143,283992.9924242424,0,0,0,0,1,0,0,1.0,373.7272727272728,751.8,58.66666666666666,5,3759,6,352,-1,512,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
50566,6,,527313,5,7,3758.0,356.0,1452.0,219.0,751.6,641.3760987127599,232.0,0.0,50.85714285714286,86.9184072783753,7801.817895633143,22.75688253466157,47937.545454545456,91735.7089397184,231967.0,1.0,473662.0,118415.5,133055.00265554342,234997.0,1.0,527313.0,87885.5,130994.02192428477,278510.0,25.0,0,100,140,9.482034389442322,13.274848145219252,0.0,1452.0,316.4615384615384,518.9313723709226,269289.7692307692,0,0,0,0,1,0,0,1.0,342.8333333333333,751.6,50.85714285714285,5,3758,7,356,-1,512,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
443,6,,14126,0,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,2194.5349001840577,212.3743451791024,7063.0,9988.59039104117,14126.0,0.0,0.0,0.0,0.0,0.0,0.0,14126.0,7063.0,9988.59039104117,14126.0,0.0,0,0,60,0.0,212.3743451791024,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,3,31,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50306
443,6,,17713,0,3,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,1750.127025348614,169.36713148534974,8856.5,12524.982415157316,17713.0,0.0,0.0,0.0,0.0,0.0,0.0,17713.0,8856.5,12524.982415157316,17713.0,0.0,0,0,60,0.0,169.36713148534974,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,0,1,0,0,0.0,10.333333333333334,0.0,10.333333333333334,0,0,3,31,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50307
443,6,,236671,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.450549496981042,236671.0,0.0,236671.0,236671.0,0.0,0.0,0.0,0.0,0.0,236671.0,236671.0,0.0,236671.0,236671.0,0,0,40,0.0,8.450549496981042,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50309
443,6,,213214,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.380247075707974,213214.0,0.0,213214.0,213214.0,0.0,0.0,0.0,0.0,0.0,213214.0,213214.0,0.0,213214.0,213214.0,0,0,40,0.0,9.380247075707974,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50310
443,6,,215867,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2649640751018,215867.0,0.0,215867.0,215867.0,0.0,0.0,0.0,0.0,0.0,215867.0,215867.0,0.0,215867.0,215867.0,0,0,40,0.0,9.2649640751018,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50311
443,6,,212561,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.409063751111445,212561.0,0.0,212561.0,212561.0,0.0,0.0,0.0,0.0,0.0,212561.0,212561.0,0.0,212561.0,212561.0,0,0,40,0.0,9.409063751111445,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,2048,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50312
80,6,,17252,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.92858798979827,17252.0,0.0,17252.0,17252.0,0.0,0.0,0.0,0.0,0.0,17252.0,17252.0,0.0,17252.0,17252.0,0,0,40,0.0,115.92858798979827,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,135,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50325
5222,6,,114163,3,3,250.0,0.0,250.0,0.0,83.33333333333334,144.33756729740642,0.0,0.0,0.0,0.0,2189.851352890166,52.556432469363976,22832.6,35134.52454922366,84287.0,47.0,99198.0,49599.0,69913.06166947633,99035.0,163.0,29876.0,14938.0,28.284271247461906,14958.0,14918.0,0,60,84,26.278216234681988,26.278216234681988,0.0,250.0,35.714285714285715,94.4911182523068,8928.57142857143,0,1,0,0,0,0,0,1.0,41.66666666666666,83.33333333333333,0.0,3,250,3,0,-1,261,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50577
443,6,,376262,12,19,7444.0,14240.0,1440.0,0.0,620.3333333333333,650.8797310121312,1452.0,0.0,749.4736842105262,723.3511801501131,57630.055652710085,82.38939887631491,12542.066666666666,46631.001909661456,254075.0,0.0,46934.0,4266.727272727273,8994.61173248639,24196.0,2.0,376262.0,20903.444444444445,59434.8031031356,254075.0,0.0,0,264,428,31.892670532767063,50.49672834354785,0.0,1452.0,677.6250000000001,688.0313078960588,473387.0806451613,0,1,0,0,0,0,0,1.0,699.483870967742,620.3333333333334,749.4736842105264,12,7444,19,14240,-1,16382,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50584
50584,6,,701,4,14,5808.0,1452.0,1452.0,1452.0,1452.0,0.0,1452.0,0.0,103.71428571428572,388.06332325684025,10356633.38088445,25677.60342368045,41.235294117647065,64.14390989385187,254.0,0.0,2.0,0.6666666666666666,0.5773502691896257,1.0,0.0,701.0,53.92307692307692,69.22362498750161,254.0,16.0,0,80,412,5706.134094151213,19971.46932952924,0.0,1452.0,458.5263157894738,693.4271866302148,480841.2631578947,0,0,0,0,1,0,0,3.0,484.0,1452.0,103.71428571428572,4,5808,14,1452,-1,517,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
443,6,,991523,10,12,1081.0,6528.0,752.0,0.0,108.1,235.76893113573908,1452.0,0.0,544.0,684.1077799188184,7674.05294683028,22.188088425583672,47215.38095238094,98410.54674194031,273724.0,0.0,760563.0,84507.00000000001,125318.75964116464,277164.0,32.0,990979.0,90089.0,124789.55656784744,275310.0,0.0,0,212,264,10.08549473890167,12.102593686682004,0.0,1452.0,330.8260869565217,555.9248356791601,309052.4229249011,0,1,0,0,0,0,0,1.0,345.8636363636364,108.1,544.0,10,1081,12,6528,-1,116,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50580
50580,6,,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,-1,116,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,443
443,6,,309553,12,17,5573.0,15543.0,1440.0,0.0,464.4166666666666,609.4973276596398,1452.0,0.0,914.2941176470588,696.1911343792273,68214.48992579622,93.6834726201975,11055.464285714286,41896.20893172232,221622.0,0.0,292996.0,26636.0,73033.67413734572,245138.0,3.0,309553.0,19347.0625,54744.30463462997,221622.0,0.0,0,264,376,38.765574877323104,54.9178977428744,0.0,1452.0,703.8666666666669,689.2647123407384,475085.84367816086,0,1,0,0,0,0,0,1.0,728.1379310344828,464.4166666666667,914.2941176470588,12,5573,17,15543,-1,16386,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50587
443,6,,291,5,1,31.0,0.0,31.0,0.0,6.2,13.863621460498695,0.0,0.0,0.0,0.0,106529.20962199313,20618.556701030928,58.2,80.37847970694644,200.0,0.0,260.0,65.0,91.13725912051557,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,112,32,17182.130584192437,3436.426116838488,0.0,31.0,4.428571428571429,11.716898663286043,137.2857142857143,0,0,0,0,1,0,0,0.0,5.166666666666667,6.2,0.0,5,31,1,0,-1,517,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50587
443,6,,29079,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7781560576361,29079.0,0.0,29079.0,29079.0,0.0,0.0,0.0,0.0,0.0,29079.0,29079.0,0.0,29079.0,29079.0,0,0,40,0.0,68.7781560576361,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,265,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50336
443,6,,28906,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1897875873521,28906.0,0.0,28906.0,28906.0,0.0,0.0,0.0,0.0,0.0,28906.0,28906.0,0.0,28906.0,28906.0,0,0,40,0.0,69.1897875873521,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,269,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50330
80,6,,33455,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.78179644298312,33455.0,0.0,33455.0,33455.0,0.0,0.0,0.0,0.0,0.0,33455.0,33455.0,0.0,33455.0,33455.0,0,0,40,0.0,59.78179644298312,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50334
443,6,,33008,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.59137178865729,33008.0,0.0,33008.0,33008.0,0.0,0.0,0.0,0.0,0.0,33008.0,33008.0,0.0,33008.0,33008.0,0,0,40,0.0,60.59137178865729,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,2,0,-1,501,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Label,50335
